"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 16:57:30,4.28 W,78.8 mW,0 W,52.5 mW,13.2 W
2025-01-17 16:57:45,4.15 W,132 mW,0 W,0 W,13.3 W
2025-01-17 16:58:00,3.80 W,134 mW,0 W,53.6 mW,13.5 W
2025-01-17 16:58:15,3.42 W,78.2 mW,0 W,0 W,13.1 W
2025-01-17 16:58:30,3.62 W,130 mW,0 W,26.0 mW,13.1 W
2025-01-17 16:58:45,3.47 W,347 mW,0 W,0 W,11.4 W
2025-01-17 16:59:00,3.40 W,694 mW,0 W,0 W,11.4 W
2025-01-17 16:59:15,3.73 W,638 mW,0 W,0 W,11.2 W
2025-01-17 16:59:30,3.48 W,411 mW,0 W,24.2 mW,11.1 W
2025-01-17 16:59:45,3.18 W,485 mW,0 W,24.3 mW,11.2 W
2025-01-17 17:00:00,3.37 W,485 mW,0 W,48.5 mW,11.1 W
2025-01-17 17:00:15,3.09 W,490 mW,0 W,49.0 mW,11.3 W
2025-01-17 17:00:30,4.07 W,253 mW,0 W,25.3 mW,12.1 W
2025-01-17 17:00:45,3.51 W,104 mW,0 W,52.0 mW,13.1 W
2025-01-17 17:01:00,3.63 W,160 mW,0 W,26.7 mW,13.4 W
2025-01-17 17:01:15,4.00 W,79.4 mW,0 W,52.9 mW,13.3 W
2025-01-17 17:01:30,3.91 W,135 mW,0 W,135 mW,13.6 W
2025-01-17 17:01:45,3.69 W,105 mW,0 W,0 W,13.3 W
2025-01-17 17:02:00,3.86 W,132 mW,0 W,26.4 mW,13.3 W
2025-01-17 17:02:15,3.70 W,405 mW,0 W,25.3 mW,12.2 W
2025-01-17 17:02:30,4.04 W,496 mW,0 W,0 W,11.5 W
2025-01-17 17:02:45,3.45 W,493 mW,0 W,24.7 mW,11.4 W
2025-01-17 17:03:00,3.79 W,660 mW,0 W,24.5 mW,11.3 W
2025-01-17 17:03:15,4.21 W,693 mW,0 W,24.8 mW,11.4 W
